species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Kerapu snubnose,snubnose grouper,Epinephelus macrospilos,Kerapu snubnose; snubnose grouper; Epinephelus macrospilos; snubnose grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,tati hitam
Kerapu arc-eye,arc-eye hawkfish,Paracirrhites arcatus,Kerapu arc-eye; arc-eye hawkfish; Paracirrhites arcatus,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",rainbow strip
Kerapu asli,redbarred perchlet,Plectranthias retrofasciatus,Kerapu asli; redbarred perchlet; Plectranthias retrofasciatus; redbarred perchlet fish,150,HIGH,Kerapu,LAUT,HIAS,kerapu asli; kerapu anten
Nila tilapia,nile tilapia,Oreochromis niloticus,Nila tilapia; nile tilapia; Oreochromis niloticus; nile tilapia fish,150,HIGH,Nila,"PAYAU, TAWAR",NON HIAS,nila
Kerapu baldchin,baldchin grouper,Choerodon rubescens,Kerapu baldchin; baldchin grouper; Choerodon rubescens; baldchin grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,lalamong; lamu-lamu wungo
Kakap,metallic blue paracaesio; saddle-back snapper,Paracaesio kusakarii,Kakap; metallic blue paracaesio; saddle-back snapper; Paracaesio kusakarii; metallic blue paracaesio; saddle-back snapper fish,150,HIGH,Kakap,LAUT,NON HIAS,balimong; ikan sulir; pisang-pisang; lolosi
Kakap anggoli,goldbanded jobfish,Pristipomoides multidens,Kakap anggoli; goldbanded jobfish; Pristipomoides multidens,150,HIGH,Kakap,LAUT,NON HIAS,
Kakap badur,yellowstreaked snapper; darktail snapper; maroon seaperch,Lutjanus lemniscatus,Kakap badur; yellowstreaked snapper; darktail snapper; maroon seaperch; Lutjanus lemniscatus; yellowstreaked snapper; darktail snapper; maroon seaperch fish,150,HIGH,Kakap,LAUT,NON HIAS,cablikan; jarang gigi; ine; kotoha
Kakap bakau,humpback red snapper,Lutjanus gibbus,Kakap bakau; humpback red snapper; Lutjanus gibbus; humpback red snapper fish,150,HIGH,Kakap,LAUT,NON HIAS,canding; dapak; jinaha; condeng; daapa; tandok; tanduk; dayah meha; ginimas
Kakap balong,yellowdot sweetlip; lemonfish,Plectorhinchus flavomaculatus,Kakap balong; yellowdot sweetlip; lemonfish; Plectorhinchus flavomaculatus,150,HIGH,Kaci-kaci,LAUT,NON HIAS,kaci-kaci (jakarta); kakap balong; gerot-gerot
Kerapu balong,wire-netting cod; wirenetting cod; dwarf-spotted rockcod; dwarf spotted grouper; honeycomb grouper; honeycomb sea bass; honeycombe grouper; honeycomb rockcod; honeycomb cod; honeycomb rock-codÂ,Epinephelus merra,Kerapu balong; wire-netting cod; wirenetting cod; dwarf-spotted rockcod; dwarf spotted grouper; honeycomb grouper; honeycomb sea bass; honeycombe grouper; honeycomb rockcod; honeycomb cod; honeycomb rock-codÂ; Epinephelus merra; wire-netting cod; wirenetting cod; dwarf-spotted rockcod; dwarf spotted grouper; honeycomb grouper; honeycomb sea bass; honeycombe grouper; honeycomb rockcod; honeycomb cod; honeycomb rock-codÂ fish,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",entai; geurape musang; kerapu; kerapu musang; kerapu karet
Kerapu barong putih,sixbar grouper,Epinephelus sexfasciatus,Kerapu barong putih; sixbar grouper; Epinephelus sexfasciatus; sixbar grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,barong putih; sunu; brong putih; mosso garasang; balang
Kakap batu,triple tail,Lobotes surinamensis,Kakap batu; triple tail; Lobotes surinamensis; triple tail fish,150,HIGH,Kakap,"LAUT, PAYAU",NON HIAS,kakap bate; kakap hitam
Kakap bluestripe,bluestripe snapper,Lutjanus kasmira,Kakap bluestripe; bluestripe snapper; Lutjanus kasmira; bluestripe snapper fish,150,HIGH,Kakap,LAUT,HIAS,gorara tikus; kunyit; reumoeng; reumong; sala; sasageh
Kakap bulat,sea chubs,Proteracanthus sarissophorus,Kakap bulat; sea chubs; Proteracanthus sarissophorus; sea chubs fish,150,HIGH,Kakap,"LAUT, PAYAU",NON HIAS,kuku
Kakap china,chinamanfish,Symphorus nematophorus,Kakap china; chinamanfish; Symphorus nematophorus,150,HIGH,Kakap,LAUT,NON HIAS,markisa; tambak kuncir; tambak kuncir palsu
Kerapu tutul,longfin grouper,Epinephelus quoyanus,Kerapu tutul; longfin grouper; Epinephelus quoyanus; longfin grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu bulat
Kerapu totol merah,slender rockcod; slender grouper; white-lined rock-cod; whitelined cod; white-lined grouper; white-lined rockcodÂ,Anyperodon leucogrammicus,Kerapu totol merah; slender rockcod; slender grouper; white-lined rock-cod; whitelined cod; white-lined grouper; white-lined rockcodÂ; Anyperodon leucogrammicus; slender rockcod; slender grouper; white-lined rock-cod; whitelined cod; white-lined grouper; white-lined rockcodÂ fish,150,HIGH,Kerapu,LAUT,NON HIAS,kilapu tallah; okke mohute; kerapu strip putih
Kerapu totol,wavylined grouper,Epinephelus undulosus,Kerapu totol; wavylined grouper; Epinephelus undulosus; wavylined grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,balong coklat tua; kwaci putih
Betok batunas,batunas damsel fish,Amblyglyphidodon batunai,Betok batunas; batunas damsel fish; Amblyglyphidodon batunai,150,HIGH,Betok,LAUT,NON HIAS,padi-padi; tibok
Kerapu tomat,red coral rod; tomato rock-cod; tomato grouper; tomato sea bass; tomato rockcod; tomato hind; tomato seabassÂ,Cephalopholis sonnerati,Kerapu tomat; red coral rod; tomato rock-cod; tomato grouper; tomato sea bass; tomato rockcod; tomato hind; tomato seabassÂ; Cephalopholis sonnerati; red coral rod; tomato rock-cod; tomato grouper; tomato sea bass; tomato rockcod; tomato hind; tomato seabassÂ fish,150,HIGH,Kerapu,LAUT,NON HIAS,behung piba; keyapu tomat; tomato rock cod; gerape pandak; kiapu mira lempes; lapu-lapu; okke; kwaci merah; angpang
Kerapu tokek,redspotted hawkfish,Amblycirrhitus pinos,Kerapu tokek; redspotted hawkfish; Amblycirrhitus pinos,150,HIGH,Kerapu,LAUT,HIAS,krapu tokek
Kerapu tikus,panther grouper; pantherfish; red fish; polka-dot grouper; polkadot grouper; barramundi cod; baramundi cod; barrimundi cod; hump-back rock-cod; flatfish grouper; highfinned grouper; humpback rockcod; humpback grouperÂ,Cromileptes altivelis,Kerapu tikus; panther grouper; pantherfish; red fish; polka-dot grouper; polkadot grouper; barramundi cod; baramundi cod; barrimundi cod; hump-back rock-cod; flatfish grouper; highfinned grouper; humpback rockcod; humpback grouperÂ; Cromileptes altivelis,150,HIGH,Kerapu,"LAUT, PAYAU","HIAS, NON HIAS",keyapu; barramundi; kiapu kamudi; kiapu tikus; kko; okke beka;
Kerapu swallowtail,swallowtail hawkfish,Cyprinocirrhites polyactis,Kerapu swallowtail; swallowtail hawkfish; Cyprinocirrhites polyactis,150,HIGH,Kerapu,LAUT,HIAS,rainbow merah asli
Kerapu sunu ss,longspine grouper,Epinephelus longispinis,Kerapu sunu ss; longspine grouper; Epinephelus longispinis; longspine grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,gorara abu; gorara abu-abu; kerapu
Kerapu sunu sabit putih,white-edged lyretail,Variola albimarginata,Kerapu sunu sabit putih; white-edged lyretail; Variola albimarginata; white-edged lyretail fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu gunting; geurape cabeung; mateana; okke meha; taringang
Kerapu api,garish grouper,Cephalopholis igarashiensis,Kerapu api; garish grouper; Cephalopholis igarashiensis; garish grouper fish,150,HIGH,Kerapu,LAUT,HIAS,keyapu; kerapu api
Kerapu sunu macan,highfin coralgrouper,Plectropomus oligacanthus,Kerapu sunu macan; highfin coralgrouper; Plectropomus oligacanthus; highfin coralgrouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu sunu; sunu alo; sunu mira
Tongkol abu-abu,longtail tuna,Thunnus tonggol,Tongkol abu-abu; longtail tuna; Thunnus tonggol; longtail tuna fish,150,HIGH,Tongkol,LAUT,NON HIAS,tuna ekor panjang; awu-awu
Tongkol komo,kawakawa; eastern little tuna,Euthynnus affinis,Tongkol komo; kawakawa; eastern little tuna; Euthynnus affinis; kawakawa; eastern little tuna fish,150,HIGH,Tongkol,LAUT,NON HIAS,tongkol batik; timphik; tongkol kurik; tongkol banyan
Kerapu bebek,summan grouper,Epinephelus summana,Kerapu bebek; summan grouper; Epinephelus summana; summan grouper fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,balong
Kakap ilak,topsail chub; blue sea chub,Kyphosus cinerascens,Kakap ilak; topsail chub; blue sea chub; Kyphosus cinerascens; topsail chub; blue sea chub fish,150,HIGH,Kakap,LAUT,NON HIAS,elak; grandang
Kakap hitam papua,papuan black snapper,Lutjanus goldiei,Kakap hitam papua; papuan black snapper; Lutjanus goldiei; papuan black snapper fish,150,HIGH,Kakap,"LAUT, PAYAU, TAWAR",NON HIAS,tembaring
Kakap hitam,black and white snapper,Macolor niger,Kakap hitam; black and white snapper; Macolor niger; black and white snapper fish,150,HIGH,Kakap,"LAUT, PAYAU",NON HIAS,bekuku; kompele terbang; kakap balong
Kakap gajah,emperor red snapper,Lutjanus sebae,Kakap gajah; emperor red snapper; Lutjanus sebae; emperor red snapper fish,150,HIGH,Kakap,"LAUT, PAYAU",HIAS,kakap bangkok; kakap sawu; bambangan; jenehak; maya-maya
Bawal,pacu,Myloplus lucienae,Bawal; pacu; Myloplus lucienae; pacu fish,150,HIGH,Bawal,TAWAR,HIAS,
Bawal air tawar,cachama,Colossoma macropomum,Bawal air tawar; cachama; Colossoma macropomum; cachama fish,150,HIGH,Bawal,TAWAR,"HIAS, NON HIAS",
Bawal bintang,snubnose pompano,Trachinotus blochii,Bawal bintang; snubnose pompano; Trachinotus blochii; snubnose pompano fish,150,HIGH,Bawal,LAUT,NON HIAS,barung
Bawal emas,golden pacu,Myleus micans,Bawal emas; golden pacu; Myleus micans; golden pacu fish,150,HIGH,Bawal,TAWAR,HIAS,
Bawal hitam,black pomfret,Parastromateus niger,Bawal hitam; black pomfret; Parastromateus niger; black pomfret fish,150,HIGH,Bawal,"LAUT, PAYAU",NON HIAS,dorang hitam; dibas; kandibas; kapet; kibas; man riwasa leleng; peda-peda lotong
Bawal laut dalam,brilliant pomfret,Eumegistus illustris,Bawal laut dalam; brilliant pomfret; Eumegistus illustris; brilliant pomfret fish,150,HIGH,Bawal,LAUT,NON HIAS,
Bawal lonjong,pomfret,Taractes rubescens,Bawal lonjong; pomfret; Taractes rubescens; pomfret fish,150,HIGH,Bawal,LAUT,NON HIAS,
Bawal paraguay,paraguay silver dollar,Mylossoma paraguayensis,Bawal paraguay; paraguay silver dollar; Mylossoma paraguayensis; paraguay silver dollar fish,150,HIGH,Bawal,TAWAR,HIAS,
Bawal perak,pacific rudderfish,Psenopsis anomala,Bawal perak; pacific rudderfish; Psenopsis anomala,150,HIGH,Bawal,LAUT,NON HIAS,
Bawal pomfret,bigtooth pomfret; bigbelly pomfret,Brama orcini,Bawal pomfret; bigtooth pomfret; bigbelly pomfret; Brama orcini; bigtooth pomfret; bigbelly pomfret fish,150,HIGH,Bawal,LAUT,NON HIAS,berelah; sadap tipis; bawal pomfret
Bawal putih,silver pomfret,Pampus argenteus,Bawal putih; silver pomfret; Pampus argenteus; silver pomfret fish,150,HIGH,Bawal,LAUT,NON HIAS,dorang
Bawal sabit,sickle pomfret,Taractichthys steindachneri,Bawal sabit; sickle pomfret; Taractichthys steindachneri; sickle pomfret fish,150,HIGH,Bawal,LAUT,NON HIAS,bawal arit; gesper bulat
Bawal tawar,pacu,Myleus pacu,Bawal tawar; pacu; Myleus pacu; pacu fish,150,HIGH,Bawal,TAWAR,HIAS,
Kakap ekor kuning,spanish flag snapper,Lutjanus carponotatus,Kakap ekor kuning; spanish flag snapper; Lutjanus carponotatus; spanish flag snapper fish,150,HIGH,Kakap,LAUT,NON HIAS,langsuroh alo; sala; kakap timun; kakap lando; ekor kuning
Mujair,mozambique tilapia,Oreochromis mosambicus,Mujair; mozambique tilapia; Oreochromis mosambicus; mozambique tilapia fish,150,HIGH,Mujair,TAWAR,NON HIAS,mujair; jaer (jawa; mujair (sulsel)
Kakap climbing,climbing perches,Anabas testudineus,Kakap climbing; climbing perches; Anabas testudineus; climbing perches fish,150,HIGH,Betok,TAWAR,NON HIAS,puyu; betok papuyu
Kerapu,sidespotted perchlet; serranid perchlet,Chelidoperca pleurospilus,Kerapu; sidespotted perchlet; serranid perchlet; Chelidoperca pleurospilus; sidespotted perchlet; serranid perchlet fish,150,HIGH,Kerapu,LAUT,NON HIAS,unknown
Kerapu anten,redbarred perchlet,Plectranthias retrofasciatus,Kerapu anten; redbarred perchlet; Plectranthias retrofasciatus; redbarred perchlet fish,150,HIGH,Kerapu,LAUT,HIAS,kerapu asli; kerapu anten
Tongkol lisong,bullet tuna,Auxis rochei,Tongkol lisong; bullet tuna; Auxis rochei; bullet tuna fish,150,HIGH,Tongkol,LAUT,NON HIAS,lisong; cerutu; curubok; tongkol sirara-gigi anjing
Tongkol krai,frigate tuna,Auxis thazard,Tongkol krai; frigate tuna; Auxis thazard; frigate tuna fish,150,HIGH,Tongkol,LAUT,NON HIAS,deho; tongkol pisang-balaki; tongkol balaki; alalalum
Tongkol hitam,black skipjack,Euthynnus lineatus,Tongkol hitam; black skipjack; Euthynnus lineatus; black skipjack fish,150,HIGH,Tuna,LAUT,NON HIAS,
Tuna mata besar,bigeye tuna,Thunnus obesus,Tuna mata besar; bigeye tuna; Thunnus obesus; bigeye tuna fish,150,HIGH,Tuna,LAUT,NON HIAS,balang kuni; bengkunis
Kerapu sunu ekor gunting,white-edged lyretail,Variola albimarginata,Kerapu sunu ekor gunting; white-edged lyretail; Variola albimarginata; white-edged lyretail fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu gunting; geurape cabeung; mateana; okke meha; taringang
Kerapu sunu bintik,roving coralgrouper,Plectropomus pessuliferus,Kerapu sunu bintik; roving coralgrouper; Plectropomus pessuliferus; roving coralgrouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu sunu; krapu lada; laidi
Kerapu kayu,greasy grouper,Epinephelus tauvina,Kerapu kayu; greasy grouper; Epinephelus tauvina; greasy grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,metan; balong; kerapu; balidra; kerapu lumpur; kerapu tutul; garutung; metan; babado
Kerapu karet strip,banded-tail coral-cod; darkfin hind; brown-finned rock-cod; duskyfin rockcod; blackfin cod; grouper; flag-tailed grouper; flagtail cod; flagtail grouper; flagtail rockcod; flag-tailed rockcod; flag-tailed rock-cod; darkfin grouperÂ,Cephalopholis urodeta,Kerapu karet strip; banded-tail coral-cod; darkfin hind; brown-finned rock-cod; duskyfin rockcod; blackfin cod; grouper; flag-tailed grouper; flagtail cod; flagtail grouper; flagtail rockcod; flag-tailed rockcod; flag-tailed rock-cod; darkfin grouperÂ; Cephalopholis urodeta; banded-tail coral-cod; darkfin hind; brown-finned rock-cod; duskyfin rockcod; blackfin cod; grouper; flag-tailed grouper; flagtail cod; flagtail grouper; flagtail rockcod; flag-tailed rockcod; flag-tailed rock-cod; darkfin grouperÂ fish,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",sunu; kerapu ekor bendera; gaos merah; kiapu panenele; okke olo
Kerapu karet merah,red coral perch; red grouper; vermillion seabass; vermilion rock cod; vermilion grouper; blue-spotted rockcod; coral grouper; coral cod; coral trout; coral hind; coral rockcodÂ,Cephalopholis miniata,Kerapu karet merah; red coral perch; red grouper; vermillion seabass; vermilion rock cod; vermilion grouper; blue-spotted rockcod; coral grouper; coral cod; coral trout; coral hind; coral rockcodÂ; Cephalopholis miniata; red coral perch; red grouper; vermillion seabass; vermilion rock cod; vermilion grouper; blue-spotted rockcod; coral grouper; coral cod; coral trout; coral hind; coral rockcodÂ fish,150,HIGH,Kerapu,"LAUT, PAYAU","HIAS, NON HIAS",keyapu; sunu merah
Kerapu karet,bridled grouper,Epinephelus heniochus,Kerapu karet; bridled grouper; Epinephelus heniochus; bridled grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu minyak; kerapu karet
Kerapu jenggot,crimsontip longfin,Plesiops coeruleolineatus,Kerapu jenggot; crimsontip longfin; Plesiops coeruleolineatus; crimsontip longfin fish,150,HIGH,Kerapu,LAUT,HIAS,godam jenggot
Kerapu jenang,banded-tail coral-cod; darkfin hind; brown-finned rock-cod; duskyfin rockcod; blackfin cod; grouper; flag-tailed grouper; flagtail cod; flagtail grouper; flagtail rockcod; flag-tailed rockcod; flag-tailed rock-cod; darkfin grouperÂ,Cephalopholis urodeta,Kerapu jenang; banded-tail coral-cod; darkfin hind; brown-finned rock-cod; duskyfin rockcod; blackfin cod; grouper; flag-tailed grouper; flagtail cod; flagtail grouper; flagtail rockcod; flag-tailed rockcod; flag-tailed rock-cod; darkfin grouperÂ; Cephalopholis urodeta; banded-tail coral-cod; darkfin hind; brown-finned rock-cod; duskyfin rockcod; blackfin cod; grouper; flag-tailed grouper; flagtail cod; flagtail grouper; flagtail rockcod; flag-tailed rockcod; flag-tailed rock-cod; darkfin grouperÂ fish,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",sunu; kerapu ekor bendera; gaos merah; kiapu panenele; okke olo
Kerapu hongbang,sixbar grouper,Epinephelus sexfasciatus,Kerapu hongbang; sixbar grouper; Epinephelus sexfasciatus; sixbar grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,barong putih; sunu; brong putih; mosso garasang; balang
Kerapu hitam strip biru,bluelined rockcod; ; bluelined grouper; bluelined hind; chocolate hind; blue-lined rock-cod; blue-lined rockcodÂ,Cephalopholis formosa,Kerapu hitam strip biru; bluelined rockcod; ; bluelined grouper; bluelined hind; chocolate hind; blue-lined rock-cod; blue-lined rockcodÂ; Cephalopholis formosa; bluelined rockcod; ; bluelined grouper; bluelined hind; chocolate hind; blue-lined rock-cod; blue-lined rockcodÂ fish,150,HIGH,Kerapu,LAUT,NON HIAS,keyapu; kerapu strip
Kerapu hias,meteor perch; stripe reef basslet; meteor basslet; susumi basslet,Liopropoma susumi,Kerapu hias; meteor perch; stripe reef basslet; meteor basslet; susumi basslet; Liopropoma susumi; meteor perch; stripe reef basslet; meteor basslet; susumi basslet fish,150,HIGH,Kerapu,LAUT,HIAS,baslet susu
Kerapu harlequin,harlequin hind; harlequin grouper,Cephalopholis polleni,Kerapu harlequin; harlequin hind; harlequin grouper; Cephalopholis polleni; harlequin hind; harlequin grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,keyapu; gerape; kiapu; mangkarnia
Kerapu harimau,oblique banded grouper,Epinephelus radiatus,Kerapu harimau; oblique banded grouper; Epinephelus radiatus; oblique banded grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu kombinasi; kerapu slip; kerapu minyak; geurape rimueng; gerape rimung
Kerapu golden,golden grouper; orange cod; golden rockcod; golden hindÂ,Cephalopholis aurantia,Kerapu golden; golden grouper; orange cod; golden rockcod; golden hindÂ; Cephalopholis aurantia; golden grouper; orange cod; golden rockcod; golden hindÂ fish,150,HIGH,Kerapu,LAUT,NON HIAS,kiapu mira; okke; kiyapu; kerapu karang
Kerapu gepeng,nassau grouper,Epinephelus striatus,Kerapu gepeng; nassau grouper; Epinephelus striatus; nassau grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu cepe
Kerapu ekor putih,yellow-spotted rock-cod; yellow-spotted rockcod; squaretail rockcod; spotted grouper; areolate rock cod; areolate grouper; areolated grouper; green-spotted rock cod;,Epinephelus areolatus,Kerapu ekor putih; yellow-spotted rock-cod; yellow-spotted rockcod; squaretail rockcod; spotted grouper; areolate rock cod; areolate grouper; areolated grouper; green-spotted rock cod;; Epinephelus areolatus; yellow-spotted rock-cod; yellow-spotted rockcod; squaretail rockcod; spotted grouper; areolate rock cod; areolate grouper; areolated grouper; green-spotted rock cod; fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,kerapu; gerape bandi; kiapu kubah; okke
Kerapu coral,coral hawkfish,Cirrhitichthys oxycephalus,Kerapu coral; coral hawkfish; Cirrhitichthys oxycephalus,150,HIGH,Kerapu,LAUT,HIAS,kerapu coral
Kerapu cokelat,chocolate hind,Chephalopholis boenack,Kerapu cokelat; chocolate hind; Chephalopholis boenack; chocolate hind fish,150,HIGH,Kerapu,LAUT,NON HIAS,krapu karang; bandih (aceh)
Kerapu cabang,coronation grouper; yellow-edged lyretail,Variola louti,Kerapu cabang; coronation grouper; yellow-edged lyretail; Variola louti; coronation grouper; yellow-edged lyretail fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu; geurape cabeung; kerapu merah putih; gerape cabeng; kerapu nenas; sunu; taringang
Kerapu bulan,coronation grouper; yellow-edged lyretail,Variola louti,Kerapu bulan; coronation grouper; yellow-edged lyretail; Variola louti; coronation grouper; yellow-edged lyretail fish,150,HIGH,Kerapu,LAUT,NON HIAS,kerapu; geurape cabeung; kerapu merah putih; gerape cabeng; kerapu nenas; sunu; taringang
Kerapu buaya,arrow-headed soapfish; chabanaud's soapfish; arrowhead soapfishÂ,Belonoperca chabanaudi,Kerapu buaya; arrow-headed soapfish; chabanaud's soapfish; arrowhead soapfishÂ; Belonoperca chabanaudi,150,HIGH,Kerapu,LAUT,HIAS,kerapu totol hitam
Kerapu brinchek hitam,peacock grouper,Cephalopholis argus,Kerapu brinchek hitam; peacock grouper; Cephalopholis argus; peacock grouper fish,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",kerapu karet; kerapu karang; keyapu; geurape brinchek itam; kerapu biasa totol biru; balufana; baraka; kiapu loong; okke dalika
Kerapu blackside,freckled hawkfish; blackside hawkfish blackside hawkfish,Paracirrhites forsteri,Kerapu blackside; freckled hawkfish; blackside hawkfish blackside hawkfish; Paracirrhites forsteri,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",belama karang
Kerapu biru,eastern blue groper,Achoerodus viridis,Kerapu biru; eastern blue groper; Achoerodus viridis; eastern blue groper fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,kerapu biru
Kerapu bintik putih,ocellated rock-cod; snowy grouper; rock cod; whitespotted grouper; white-spotted rockcod; white-spotted grouper; whitespotted rockcod; garrupa,Epinephelus coeruleopunctatus,Kerapu bintik putih; ocellated rock-cod; snowy grouper; rock cod; whitespotted grouper; white-spotted rockcod; white-spotted grouper; whitespotted rockcod; garrupa; Epinephelus coeruleopunctatus; ocellated rock-cod; snowy grouper; rock cod; whitespotted grouper; white-spotted rockcod; white-spotted grouper; whitespotted rockcod; garrupa fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,baraka; bulang; geurape karet; kiapu buntar tikolo; okke tulareke
Kerapu bintik biru,bluespotted hind; bluespotted grouper; bluespotted rockcod,Cephalopholis cyanostigma,Kerapu bintik biru; bluespotted hind; bluespotted grouper; bluespotted rockcod; Cephalopholis cyanostigma; bluespotted hind; bluespotted grouper; bluespotted rockcod fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,kiapu mira binti; okke; kiyapu; kerapu karang
Kerapu belosoh,coral grouper; coral rockcod; coral rock-codÂ,Epinephelus corallicola,Kerapu belosoh; coral grouper; coral rockcod; coral rock-codÂ; Epinephelus corallicola; coral grouper; coral rockcod; coral rock-codÂ fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,kerapu belosoh; kerapu macan
Kerapu kentang,potato grouper,Epinephelus tukula,Kerapu kentang; potato grouper; Epinephelus tukula; potato grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kiapu buntar tikolo; okke
Kerapu sunu bintik kasar,squaretail coralgrouper,Plectropomus areolatus,Kerapu sunu bintik kasar; squaretail coralgrouper; Plectropomus areolatus; squaretail coralgrouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,sunu kasar; mateana; kerapu pisang;
Kerapu kertang,queensland grouper; queensland groper; bridlebass; brindlebass; brindle grouper; brindle bass; giant grouperÂ,Epinephelus lanceolatus,Kerapu kertang; queensland grouper; queensland groper; bridlebass; brindlebass; brindle grouper; brindle bass; giant grouperÂ; Epinephelus lanceolatus; queensland grouper; queensland groper; bridlebass; brindlebass; brindle grouper; brindle bass; giant grouperÂ fish,150,HIGH,Kerapu,"LAUT, PAYAU","HIAS, NON HIAS",kerapu emas; kerapu lumpur; kiapu mansarunae
Kerapu kuning,yellowtail reefcod; blue and yellow reef cod; yellowtail rockcod; yellowfin grouper; blue and yellow grouper,Epinephelus flavocaeruleus,Kerapu kuning; yellowtail reefcod; blue and yellow reef cod; yellowtail rockcod; yellowfin grouper; blue and yellow grouper; Epinephelus flavocaeruleus; yellowtail reefcod; blue and yellow reef cod; yellowtail rockcod; yellowfin grouper; blue and yellow grouper fish,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",kerapu; geurape kuneng
Kerapu sunu,masked grouper,Gracila albomarginata,Kerapu sunu; masked grouper; Gracila albomarginata; masked grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kiapu bandoka; okke
Kerapu stroberi,orange-red pigmy grouper; strawberry hind; strawberry grouper; strawberry rockcod; strawberry codÂ,Cephalopholis spiloparaea,Kerapu stroberi; orange-red pigmy grouper; strawberry hind; strawberry grouper; strawberry rockcod; strawberry codÂ; Cephalopholis spiloparaea; orange-red pigmy grouper; strawberry hind; strawberry grouper; strawberry rockcod; strawberry codÂ fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,keyapu stroberi; kiapu mira polos; okke
Kerapu batik,camouflage grouper,Epinephelus polyphekadion,Kerapu batik; camouflage grouper; Epinephelus polyphekadion; camouflage grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,kiapu ngaluhu; kiapu tiger; okke
Kerapu sendok,redbarred rockcod; scarlet sea bass; rock cod; red banded grouper; striped grouper; blacktip grouper; blacktipped cod; banded reef cod; black-tipped rock-cod; black-tipped rockcod; black-tipped grouper; footballer cod; golden grouper,Epinephelus fasciatus,Kerapu sendok; redbarred rockcod; scarlet sea bass; rock cod; red banded grouper; striped grouper; blacktip grouper; blacktipped cod; banded reef cod; black-tipped rock-cod; black-tipped rockcod; black-tipped grouper; footballer cod; golden grouper; Epinephelus fasciatus; redbarred rockcod; scarlet sea bass; rock cod; red banded grouper; striped grouper; blacktip grouper; blacktipped cod; banded reef cod; black-tipped rock-cod; black-tipped rockcod; black-tipped grouper; footballer cod; golden grouper fish,150,HIGH,Kerapu,"LAUT, PAYAU","HIAS, NON HIAS",sunu karet; gerape sendok; geurape bungong kala; kerapu bara; kiapu matekuli; okke; lumpur karet
Kerapu raja sunu,blacksaddled coralgrouper,Plectropomus laevis,Kerapu raja sunu; blacksaddled coralgrouper; Plectropomus laevis; blacksaddled coralgrouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,sunuk raja; kerapu hitam putih; okke makuri; sunu bantoel
Kerapu princess anthias,princess anthias,Pseudanthias smithvanizi,Kerapu princess anthias; princess anthias; Pseudanthias smithvanizi; princess anthias fish,150,HIGH,Kerapu,LAUT,HIAS,kerapu princess anthias
Kerapu pipi duri,spinycheek grouper,Epinephelus diacanthus,Kerapu pipi duri; spinycheek grouper; Epinephelus diacanthus; spinycheek grouper fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,kerapu pipi duri
Kerapu pasir,coral grouper; coral rockcod; coral rock-codÂ,Epinephelus corallicola,Kerapu pasir; coral grouper; coral rockcod; coral rock-codÂ; Epinephelus corallicola; coral grouper; coral rockcod; coral rock-codÂ fish,150,HIGH,Kerapu,"LAUT, PAYAU",NON HIAS,kerapu belosoh; kerapu macan
